id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1261,maxent,0.10059171597633136,0.9417992629049319,2.0,7.0,3.0,1.0,1.0,8.0,17.0
1219,random,0.05803571428571429,0.9393905591467784,2.0,2.0,1.0,323.0,15.0,139.0,145.0
1219,niche,0.06728373086507654,0.8992801571243121,2.0,17.0,5.0,351.0,25.0,290.0,535.0
1219,cascade,0.06345663265306123,0.9275988885074262,4.0,9.0,9.0,390.0,63.0,420.0,400.0
1219,hierarchy,0.05580357142857143,0.9527112942317596,1.0,3.0,0.0,424.0,32.0,184.0,197.0
1219,maxent,0.05644132653061224,0.9216997852594809,3.0,32.0,0.0,72.0,45.0,67.0,516.0
1237,random,0.10074074074074074,0.9310136746535013,3.0,2.0,0.0,372.0,44.0,175.0,205.0
1237,niche,0.11851851851851852,0.8695627760306773,3.0,10.0,0.0,207.0,69.0,186.0,269.0
1237,cascade,0.10814814814814815,0.9067246075314096,3.0,6.0,4.0,484.0,159.0,548.0,573.0
1237,hierarchy,0.10320987654320987,0.9423080110322382,1.0,2.0,0.0,599.0,111.0,305.0,317.0
1237,maxent,0.10469135802469136,0.9058338000556759,5.0,20.0,4.0,131.0,225.0,266.0,756.0
1218,random,0.05767176931292275,0.9442792508819312,1.0,3.0,1.0,259.0,14.0,130.0,139.0
1218,niche,0.04022783908864364,0.9327484808944106,2.0,20.0,14.0,110.0,20.0,124.0,183.0
1218,cascade,0.055891776432894266,0.9325087831701531,4.0,10.0,6.0,266.0,37.0,248.0,280.0
1218,hierarchy,0.05436390532544379,0.9462033676809352,1.0,5.0,2.0,265.0,20.0,150.0,126.0
1218,maxent,0.053399786400854396,0.9166504209714693,2.0,40.0,0.0,54.0,41.0,43.0,936.0
1235,random,0.07253086419753087,0.9375733448104641,1.0,3.0,3.0,150.0,7.0,99.0,77.0
